close,datetime,high,low,open,volume
3745.093,2019/5/28 22:44,3747.155,3745.093,3745.093,12984
3749.749,2019/5/28 22:49,3750.504,3744.23,3746.514,24174
3747.771,2019/5/28 22:54,3750.448,3743.473,3749.695,28196
3749.945,2019/5/28 22:59,3751.631,3745.894,3749.45,34446
3745.296,2019/5/29 9:04,3751.875,3744.292,3746.213,53886
3743.623,2019/5/29 9:09,3749.17,3743.059,3748.289,47916
3740.392,2019/5/29 9:14,3745.039,3735.638,3738.987,126174
3747.096,2019/5/29 9:19,3748.326,3738.348,3744.545,57172
3753.053,2019/5/29 9:24,3755.578,3746.289,3753.053,108536
3752.335,2019/5/29 9:29,3755.871,3750.005,3751.102,45480
3751.317,2019/5/29 9:34,3756.947,3749.178,3753.351,56488
3750.666,2019/5/29 9:39,3754.223,3750.383,3752.538,24918
3751.466,2019/5/29 9:44,3753.4,3749.778,3752.41,22462
3754.655,2019/5/29 9:49,3755.592,3750.984,3753.479,25860
3759.951,2019/5/29 9:54,3763.758,3754.653,3762.197,108134
3761.019,2019/5/29 9:59,3761.021,3756.175,3760.085,32788
3759.16,2019/5/29 10:04,3763.253,3757.977,3758.913,36592
3755.892,2019/5/29 10:09,3760.604,3755.674,3757.394,28830
3758.111,2019/5/29 10:14,3760.023,3755.89,3759.286,17278
3757.809,2019/5/29 10:34,3759.04,3754.242,3758.613,28616
3751.053,2019/5/29 10:39,3758.667,3750.117,3753.033,33304
3750.054,2019/5/29 10:44,3752.979,3747.941,3749.304,32972
3746.97,2019/5/29 10:49,3751.13,3745.361,3748.338,46888
3745.57,2019/5/29 10:54,3747.155,3741.897,3744.82,54686
3745.819,2019/5/29 10:59,3749.495,3742.144,3748.444,43796
3747.035,2019/5/29 11:04,3748.777,3742.944,3747.086,19392
3746.928,2019/5/29 11:09,3747.973,3746.099,3746.93,7952
3740.378,2019/5/29 11:14,3746.846,3740.138,3744.045,37750
3743.583,2019/5/29 11:19,3744.333,3739.558,3741.603,58308
